"","Zip Code","column_label","City Name","Year","Zip Code Rate","STATE","ZIP_TYPE","RUCA1","RUCA2","rurality","Delayed_Care"
"269",91801,2,"Los Angeles County",2018,293,"CA","Zip Code Area",1,1,"Urban",16.6
"270",91803,2,"Los Angeles County",2018,295,"CA","Zip Code Area",1,1,"Urban",15.9
"271",92602,3,"Orange County",2018,122,"CA","Zip Code Area",1,1,"Urban",16.4
"272",92603,3,"Orange County",2018,121,"CA","Zip Code Area",1,1.1,"Urban",15.8
"273",92604,3,"Orange County",2018,157,"CA","Zip Code Area",1,1,"Urban",17.5
"274",92606,3,"Orange County",2018,181,"CA","Zip Code Area",1,1,"Urban",16.5
"275",92610,3,"Orange County",2018,91,"CA","Zip Code Area",1,1.1,"Urban",15.8
"276",92612,3,"Orange County",2018,215,"CA","Zip Code Area",1,1,"Urban",16.8
"277",92614,3,"Orange County",2018,200,"CA","Zip Code Area",1,1,"Urban",18.2
"278",92617,3,"Orange County",2018,83,"CA","Zip Code Area",1,1,"Urban",21.4
"279",92618,3,"Orange County",2018,455,"CA","Zip Code Area",1,1,"Urban",18.6
"280",92620,3,"Orange County",2018,154,"CA","Zip Code Area",1,1,"Urban",17
"281",92624,3,"Orange County",2018,255,"CA","Zip Code Area",1,1.1,"Urban",19.7
"282",92625,3,"Orange County",2018,205,"CA","Zip Code Area",1,1,"Urban",15.6
"283",92626,3,"Orange County",2018,289,"CA","Zip Code Area",1,1,"Urban",20.2
"284",92627,3,"Orange County",2018,320,"CA","Zip Code Area",1,1,"Urban",19.9
"285",92629,3,"Orange County",2018,317,"CA","Zip Code Area",1,1.1,"Urban",19.1
"286",92630,3,"Orange County",2018,231,"CA","Zip Code Area",1,1.1,"Urban",18.9
"287",92637,3,"Orange County",2018,206,"CA","Zip Code Area",1,1.1,"Urban",13.4
"288",92646,3,"Orange County",2018,172,"CA","Zip Code Area",1,1,"Urban",18.9
"289",92647,3,"Orange County",2018,243,"CA","Zip Code Area",1,1,"Urban",19.1
"290",92648,3,"Orange County",2018,209,"CA","Zip Code Area",1,1,"Urban",19.7
"291",92649,3,"Orange County",2018,141,"CA","Zip Code Area",1,1,"Urban",18.6
"292",92651,3,"Orange County",2018,940,"CA","Zip Code Area",1,1.1,"Urban",18.2
"293",92653,3,"Orange County",2018,249,"CA","Zip Code Area",1,1.1,"Urban",18.2
"294",92655,3,"Orange County",2018,320,"CA","Zip Code Area",1,1,"Urban",14.6
"295",92656,3,"Orange County",2018,221,"CA","Zip Code Area",1,1.1,"Urban",19.1
"296",92657,3,"Orange County",2018,274,"CA","Zip Code Area",1,1,"Urban",16.2
"297",92660,3,"Orange County",2018,170,"CA","Zip Code Area",1,1,"Urban",17.9
"298",92661,3,"Orange County",2018,347,"CA","Zip Code Area",1,1,"Urban",20.9
"299",92662,3,"Orange County",2018,232,"CA","Zip Code Area",1,1,"Urban",16.8
"300",92663,3,"Orange County",2018,237,"CA","Zip Code Area",1,1,"Urban",20.4
"301",92672,3,"Orange County",2018,193,"CA","Zip Code Area",1,1.1,"Urban",19.8
"302",92673,3,"Orange County",2018,131,"CA","Zip Code Area",1,1.1,"Urban",18.1
"303",92675,3,"Orange County",2018,159,"CA","Zip Code Area",1,1.1,"Urban",18
"304",92677,3,"Orange County",2018,282,"CA","Zip Code Area",1,1.1,"Urban",18.9
"305",92679,3,"Orange County",2018,89,"CA","Zip Code Area",1,1.1,"Urban",18.3
"306",92683,3,"Orange County",2018,243,"CA","Zip Code Area",1,1,"Urban",15.2
"307",92688,3,"Orange County",2018,118,"CA","Zip Code Area",1,1.1,"Urban",19
"308",92691,3,"Orange County",2018,183,"CA","Zip Code Area",1,1.1,"Urban",18.9
"309",92692,3,"Orange County",2018,150,"CA","Zip Code Area",1,1.1,"Urban",18
"310",92694,3,"Orange County",2018,148,"CA","Zip Code Area",1,1.1,"Urban",17.7
"311",92701,3,"Orange County",2018,886,"CA","Zip Code Area",1,1,"Urban",17.9
"312",92703,3,"Orange County",2018,878,"CA","Zip Code Area",1,1,"Urban",17.3
"313",92704,3,"Orange County",2018,357,"CA","Zip Code Area",1,1,"Urban",17.3
"314",92705,3,"Orange County",2018,305,"CA","Zip Code Area",1,1,"Urban",17.7
"315",92706,3,"Orange County",2018,896,"CA","Zip Code Area",1,1,"Urban",17.7
"316",92707,3,"Orange County",2018,387,"CA","Zip Code Area",1,1,"Urban",18.8
"317",92708,3,"Orange County",2018,203,"CA","Zip Code Area",1,1,"Urban",16.8
"318",92780,3,"Orange County",2018,407,"CA","Zip Code Area",1,1,"Urban",18.4
"319",92782,3,"Orange County",2018,227,"CA","Zip Code Area",1,1,"Urban",18
"320",92801,3,"Orange County",2018,417,"CA","Zip Code Area",1,1,"Urban",17.5
"321",92802,3,"Orange County",2018,415,"CA","Zip Code Area",1,1,"Urban",17.4
"322",92804,3,"Orange County",2018,356,"CA","Zip Code Area",1,1,"Urban",17.1
"323",92805,3,"Orange County",2018,436,"CA","Zip Code Area",1,1,"Urban",17.9
"324",92806,3,"Orange County",2018,399,"CA","Zip Code Area",1,1,"Urban",19.1
"325",92807,3,"Orange County",2018,204,"CA","Zip Code Area",1,1,"Urban",16.9
"326",92808,3,"Orange County",2018,150,"CA","Zip Code Area",1,1,"Urban",17.1
"327",92821,3,"Orange County",2018,166,"CA","Zip Code Area",1,1,"Urban",18.6
"328",92823,3,"Orange County",2018,171,"CA","Zip Code Area",1,1,"Urban",14.5
"329",92831,3,"Orange County",2018,247,"CA","Zip Code Area",1,1,"Urban",18.1
"330",92832,3,"Orange County",2018,305,"CA","Zip Code Area",1,1,"Urban",18.8
"331",92833,3,"Orange County",2018,179,"CA","Zip Code Area",1,1,"Urban",16.3
"332",92835,3,"Orange County",2018,175,"CA","Zip Code Area",1,1,"Urban",16.3
"333",92840,3,"Orange County",2018,357,"CA","Zip Code Area",1,1,"Urban",16.1
"334",92841,3,"Orange County",2018,238,"CA","Zip Code Area",1,1,"Urban",15.7
"335",92843,3,"Orange County",2018,279,"CA","Zip Code Area",1,1,"Urban",15.3
"336",92844,3,"Orange County",2018,204,"CA","Zip Code Area",1,1,"Urban",14.1
"337",92845,3,"Orange County",2018,137,"CA","Zip Code Area",1,1,"Urban",18.5
"338",92861,3,"Orange County",2018,118,"CA","Zip Code Area",1,1,"Urban",15.8
"339",92865,3,"Orange County",2018,279,"CA","Zip Code Area",1,1,"Urban",18.1
"340",92866,3,"Orange County",2018,367,"CA","Zip Code Area",1,1,"Urban",21.7
"341",92867,3,"Orange County",2018,175,"CA","Zip Code Area",1,1,"Urban",18.7
"342",92868,3,"Orange County",2018,354,"CA","Zip Code Area",1,1,"Urban",19.4
"343",92869,3,"Orange County",2018,252,"CA","Zip Code Area",1,1,"Urban",16.9
"344",92870,3,"Orange County",2018,176,"CA","Zip Code Area",1,1,"Urban",17.5
"345",92886,3,"Orange County",2018,87,"CA","Zip Code Area",1,1,"Urban",17
"346",92887,3,"Orange County",2018,88,"CA","Zip Code Area",1,1,"Urban",16.9
"347",93510,2,"Los Angeles County",2018,144,"CA","Zip Code Area",2,2,"Suburban",21.5
"348",93534,2,"Los Angeles County",2018,623,"CA","Zip Code Area",1,1,"Urban",21.9
"349",93535,2,"Los Angeles County",2018,416,"CA","Zip Code Area",1,1,"Urban",20.8
"350",93536,2,"Los Angeles County",2018,397,"CA","Zip Code Area",1,1,"Urban",20.7
"351",93543,2,"Los Angeles County",2018,239,"CA","Zip Code Area",1,1,"Urban",20.4
"352",93550,2,"Los Angeles County",2018,437,"CA","Zip Code Area",1,1,"Urban",20.9
"353",93551,2,"Los Angeles County",2018,240,"CA","Zip Code Area",1,1,"Urban",19.9
"354",93552,2,"Los Angeles County",2018,294,"CA","Zip Code Area",1,1,"Urban",21.1
"355",93591,2,"Los Angeles County",2018,228,"CA","Zip Code Area",2,2.1,"Suburban",19.2
"356",94102,1,"San Francisco",2018,4614,"CA","Zip Code Area",1,1,"Urban",17.4
"357",94103,1,"San Francisco",2018,4336,"CA","Zip Code Area",1,1,"Urban",17.9
"358",94105,1,"San Francisco",2018,2505,"CA","Zip Code Area",1,1,"Urban",20
"359",94107,1,"San Francisco",2018,1722,"CA","Zip Code Area",1,1,"Urban",21.2
"360",94108,1,"San Francisco",2018,1023,"CA","Zip Code Area",1,1,"Urban",18.1
"361",94109,1,"San Francisco",2018,1880,"CA","Zip Code Area",1,1,"Urban",22
"362",94110,1,"San Francisco",2018,1928,"CA","Zip Code Area",1,1,"Urban",20.8
"363",94111,1,"San Francisco",2018,875,"CA","Zip Code Area",1,1,"Urban",16.3
"364",94112,1,"San Francisco",2018,715,"CA","Zip Code Area",1,1,"Urban",17.2
"365",94114,1,"San Francisco",2018,6532,"CA","Zip Code Area",1,1,"Urban",23.8
"366",94115,1,"San Francisco",2018,1496,"CA","Zip Code Area",1,1,"Urban",22.2
"367",94116,1,"San Francisco",2018,613,"CA","Zip Code Area",1,1,"Urban",17.3
"368",94117,1,"San Francisco",2018,2183,"CA","Zip Code Area",1,1,"Urban",24.7
"369",94118,1,"San Francisco",2018,483,"CA","Zip Code Area",1,1,"Urban",20.5
"370",94121,1,"San Francisco",2018,412,"CA","Zip Code Area",1,1,"Urban",18.3
"371",94122,1,"San Francisco",2018,455,"CA","Zip Code Area",1,1,"Urban",18.9
"372",94123,1,"San Francisco",2018,306,"CA","Zip Code Area",1,1,"Urban",26
"373",94124,1,"San Francisco",2018,1185,"CA","Zip Code Area",1,1,"Urban",18
"374",94127,1,"San Francisco",2018,733,"CA","Zip Code Area",1,1,"Urban",18.3
"375",94129,1,"San Francisco",2018,699,"CA","Zip Code Area",1,1,"Urban",23.9
"376",94130,1,"San Francisco",2018,1786,"CA","Zip Code Area",1,1,"Urban",15.3
"377",94131,1,"San Francisco",2018,2713,"CA","Zip Code Area",1,1,"Urban",21.4
"378",94132,1,"San Francisco",2018,664,"CA","Zip Code Area",1,1,"Urban",18.4
"379",94133,1,"San Francisco",2018,476,"CA","Zip Code Area",1,1,"Urban",16.8
"380",94134,1,"San Francisco",2018,701,"CA","Zip Code Area",1,1,"Urban",15.8
"381",94158,1,"San Francisco",2018,2450,"CA","Zip Code Area",1,1,"Urban",19.1
"382",94501,4,"Alameda County",2018,424,"CA","Zip Code Area",1,1,"Urban",17.9
"383",94502,4,"Alameda County",2018,131,"CA","Zip Code Area",1,1,"Urban",14.8
"384",94536,4,"Alameda County",2018,173,"CA","Zip Code Area",1,1,"Urban",15.8
"385",94538,4,"Alameda County",2018,183,"CA","Zip Code Area",1,1,"Urban",16
"386",94539,4,"Alameda County",2018,64,"CA","Zip Code Area",1,1,"Urban",12.3
"387",94541,4,"Alameda County",2018,514,"CA","Zip Code Area",1,1,"Urban",17.8
"388",94542,4,"Alameda County",2018,315,"CA","Zip Code Area",1,1,"Urban",17.3
"389",94544,4,"Alameda County",2018,383,"CA","Zip Code Area",1,1,"Urban",16.7
"390",94545,4,"Alameda County",2018,323,"CA","Zip Code Area",1,1,"Urban",15.6
"391",94546,4,"Alameda County",2018,252,"CA","Zip Code Area",1,1,"Urban",17.3
"392",94550,4,"Alameda County",2018,155,"CA","Zip Code Area",2,2,"Suburban",17.2
"393",94551,4,"Alameda County",2018,173,"CA","Zip Code Area",2,2,"Suburban",16.7
"394",94552,4,"Alameda County",2018,216,"CA","Zip Code Area",1,1,"Urban",14.5
"395",94555,4,"Alameda County",2018,145,"CA","Zip Code Area",1,1,"Urban",13.7
"396",94560,4,"Alameda County",2018,138,"CA","Zip Code Area",1,1,"Urban",15.2
"397",94566,4,"Alameda County",2018,98,"CA","Zip Code Area",1,1,"Urban",16.2
"398",94568,4,"Alameda County",2018,418,"CA","Zip Code Area",1,1,"Urban",17
"399",94577,4,"Alameda County",2018,554,"CA","Zip Code Area",1,1,"Urban",16.9
"400",94578,4,"Alameda County",2018,584,"CA","Zip Code Area",1,1,"Urban",17.7
"401",94579,4,"Alameda County",2018,270,"CA","Zip Code Area",1,1,"Urban",14.3
"402",94580,4,"Alameda County",2018,393,"CA","Zip Code Area",1,1,"Urban",16.4
"403",94587,4,"Alameda County",2018,168,"CA","Zip Code Area",1,1,"Urban",14.7
"404",94588,4,"Alameda County",2018,111,"CA","Zip Code Area",1,1,"Urban",15.7
"405",94601,4,"Oakland",2018,859,"CA","Zip Code Area",1,1,"Urban",15.9
"406",94602,4,"Oakland",2018,776,"CA","Zip Code Area",1,1,"Urban",17.6
"407",94603,4,"Oakland",2018,850,"CA","Zip Code Area",1,1,"Urban",17.6
"408",94605,4,"Oakland",2018,1103,"CA","Zip Code Area",1,1,"Urban",18.2
"409",94606,4,"Oakland",2018,962,"CA","Zip Code Area",1,1,"Urban",16
"410",94607,4,"Oakland",2018,1335,"CA","Zip Code Area",1,1,"Urban",16.1
"411",94608,4,"Oakland",2018,1382,"CA","Zip Code Area",1,1,"Urban",18.8
"412",94609,4,"Oakland",2018,1050,"CA","Zip Code Area",1,1,"Urban",22.2
"413",94610,4,"Oakland",2018,952,"CA","Zip Code Area",1,1,"Urban",19.7
"414",94611,4,"Oakland",2018,561,"CA","Zip Code Area",1,1,"Urban",17.4
"415",94612,4,"Oakland",2018,2259,"CA","Zip Code Area",1,1,"Urban",16
"416",94618,4,"Oakland",2018,290,"CA","Zip Code Area",1,1,"Urban",19.4
"417",94619,4,"Oakland",2018,762,"CA","Zip Code Area",1,1,"Urban",17.5
"418",94621,4,"Oakland",2018,1281,"CA","Zip Code Area",1,1,"Urban",17
"419",94702,4,"Alameda County",2018,742,"CA","Zip Code Area",1,1,"Urban",20.2
"420",94703,4,"Alameda County",2018,540,"CA","Zip Code Area",1,1,"Urban",20
"421",94704,4,"Alameda County",2018,295,"CA","Zip Code Area",1,1,"Urban",18.2
"422",94705,4,"Alameda County",2018,440,"CA","Zip Code Area",1,1,"Urban",20.1
"423",94706,4,"Alameda County",2018,231,"CA","Zip Code Area",1,1,"Urban",17.8
"424",94707,4,"Alameda County",2018,256,"CA","Zip Code Area",1,1,"Urban",17.7
"425",94708,4,"Alameda County",2018,322,"CA","Zip Code Area",1,1,"Urban",17.5
"426",94709,4,"Alameda County",2018,340,"CA","Zip Code Area",1,1,"Urban",21.8
"427",94710,4,"Alameda County",2018,776,"CA","Zip Code Area",1,1,"Urban",19.7
"428",95391,4,"Alameda County",2018,250,"CA","Zip Code Area",3,3,"Rural",17.6
"429",91901,5,"San Diego County",NA,173.3,"CA","Zip Code Area",1,1,"Urban",19.3
"430",91902,5,"San Diego County",NA,247.5,"CA","Zip Code Area",1,1,"Urban",18.5
"431",91910,5,"San Diego County",NA,391.9,"CA","Zip Code Area",1,1,"Urban",20.5
"432",91911,5,"San Diego County",NA,424.2,"CA","Zip Code Area",1,1,"Urban",20.2
"433",91913,5,"San Diego County",NA,187.8,"CA","Zip Code Area",1,1,"Urban",18.4
"434",91914,5,"San Diego County",NA,140.6,"CA","Zip Code Area",1,1,"Urban",18.7
